country_mb,artist,listeners
Ukraine,5'nizza,204392
United Arab Emirates,Nervecell,7503
United Kingdom,Coldplay,5381567
United States,Red Hot Chili Peppers,4620835
Uruguay,Rodriguez,264596
Uzbekistan,Storm,93644
Vanuatu,Sunshiners,2960
Vatican City,Pope Francis,1337
Venezuela,Franco De Vita,183812
Vietnam,Microwave,34294
Western Sahara,Mariem Hassan,8295
Yemen,❖,3174
Yugoslavia,Data,250553
Zambia,Amanaz,31513
Zimbabwe,Oliver Mtukudzi,51137
